,^IRX,^FVX,^TNX,FDCAX,GMCFX,FRESX,FRRSX,FSLBX,VDIGX,SGGDX,OPGSX,CL,HE,B,NBP,GL
AAPL,0.953622579,0.731127378,0.765689579,0.103386914,0.434167615,0.007069302,0.055264053,0.338629628,0.029869376,0.059414373,0.124078542,0.0001163,0.005497511,0.015635324,1.57E-08,2.96E-05
PFE,0.984367186,0.604839229,0.71776428,0.002915606,0.146904752,0.219634306,0.467002965,0.004704621,0.001720573,0.455710208,0.368370981,0.052925058,0.068376645,0.229286339,0.517291561,0.001315177
WMT,0.039281871,0.189979696,0.226381642,0.005353192,0.057233657,0.026124434,0.027874238,0.050003031,0.000691347,0.102761582,0.115675717,0.023700631,0.166884921,0.00284616,0.105014844,0.056769217
COST,0.094628988,0.05694494,0.024965281,0.026977421,0.091663194,0.008932821,0.014299685,0.065391809,0.002895286,0.533887117,0.380557207,0.009625295,0.04221287,0.08435941,3.53E-06,0.017111781
T,0.010760697,0.259359551,0.206688852,0.026828384,0.179104758,0.576761664,0.838953585,0.011733003,0.003641324,0.021034971,0.016397446,0.368761984,0.028927198,0.640228519,0.526852819,0.002082933
CMCSA,0.275273898,0.437256897,0.696494178,0.007821484,0.037917224,0.238070928,0.233919608,0.366478639,3.91E-05,0.416701778,0.531969306,0.07602246,0.002394972,0.146533797,0.016232736,0.017598061
PEP,0.091051635,0.028936947,0.018728276,0.000485038,0.088797706,0.167373672,0.365902715,2.65E-05,0.029398991,0.489214238,0.580252053,0.092212544,0.109214117,0.058751157,0.000114463,0.00072225
KO,0.352317851,0.10288915,0.072257324,2.63E-06,0.002247101,0.409561661,0.561048636,7.56E-05,0.001053291,0.666202979,0.376084311,0.115388616,0.088527182,0.069329226,0.208924168,0.005001248
UL,0.102527267,0.138413182,0.082625107,0.062390443,0.97709933,0.123023192,0.291367811,0.012761524,0.226279651,0.358843251,0.335437994,0.000338973,0.102305403,0.003319242,0.000791871,0.00169659
BAC,2.54E-29,0.104574127,0.571465797,0.028329997,0.16873894,0.175392916,0.195554105,0.046575185,0.116257629,3.35E-07,9.92E-08,0.348670682,0.709573059,0.423371007,0.998826398,0.004396192
JPM,8.97E-11,0.658516372,0.757372438,0.561893783,0.031906633,2.61E-05,0.000194566,0.291654495,0.030613598,2.23E-05,3.72E-07,0.139334088,0.297993755,0.650535748,0.209341245,0.000468975
GS,3.30E-06,0.484270842,0.495609973,0.013050764,0.661172125,0.078483179,0.081553158,0.033128671,0.036968472,0.015862141,0.001161462,0.073434076,0.249453881,0.092054459,0.325577464,0.013017234
MS,0.172100106,0.448850177,0.532102705,0.581585046,0.850948582,0.70902414,0.753587219,0.783637689,0.918603343,0.010167843,0.00203187,0.22979266,0.978277485,0.973954277,0.970122864,0.083391375
NOC,0.975125134,0.892638415,0.68749706,0.384761486,0.52990501,0.163276098,0.300391381,0.315241841,0.583821137,0.264811368,0.279272761,8.33E-05,0.405367064,0.000553827,1.15E-06,0.005829609
LMT,0.413493721,0.529265281,0.397314148,0.187173255,0.620993679,0.002879159,0.019414477,0.034098442,0.189217867,0.173475932,0.224381542,0.020906088,0.315502269,0.031894493,0.000101981,0.000279221
BA,0.842596762,0.517445552,0.361741407,0.003059586,0.048767089,0.039838611,0.159041367,0.033673581,0.008710129,0.682632092,0.847317077,6.84E-07,0.219274077,0.000459702,1.44E-07,0.071741179
F,0.578996097,0.562601128,0.553009482,0.102532963,0.067879409,0.565006577,0.530747754,0.063276106,0.058165961,0.639751534,0.465167608,0.586530659,0.223055096,0.732263559,0.699138073,0.595451722
